food_code,food_name,primarysource,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,source_file
ASC001,Hot tea (Garam Chai),asc_manual,16.14,2.58,0.39,0.53,2.58,0.0,321.5,144.18,16.39,0.0,14.2,11.5,1.04,3.12,13.95,0.02,0.01,0.11,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.86,0.0,0.01,0.01,0.04,0.0,0.24,0.86,0.24,23.75,tea cup,ASC001.json
ASC002,Instant coffee,asc_manual,23.16,3.65,0.64,0.75,3.62,0.0,451.17,202.33,23.0,0.0,20.87,18.19,3.63,4.92,44.5,0.06,0.01,0.22,0.0,0.02,0.0,0.06,0.0,0.04,0.0,0.0,0.03,0.0,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33,tea cup,ASC002.json
ASC003,Espreso coffee,asc_manual,51.54,6.62,1.75,2.14,6.53,0.0,1291.67,580.16,66.21,0.0,58.1,50.25,8.57,13.98,103.86,0.15,0.04,0.56,0.0,0.03,0.0,0.19,0.0,0.11,0.0,0.0,0.05,0.0,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49,0.95,94.64,tea cup,ASC003.json
ASC004,Iced tea,asc_manual,10.34,2.7,0.03,0.01,2.7,0.0,5.47,0.0,5.47,0.0,1.18,0.58,0.39,0.23,5.22,0.02,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.01,0.01,0.0,0.01,0.4,1.86,0.22,tall glass,ASC004.json
ASC005,Raw mango drink (Aam panna),asc_manual,35.92,9.05,0.16,0.03,7.49,0.61,6.14,5.89,9.43,0.0,7.08,3.34,4.25,79.82,31.45,0.14,0.03,0.05,0.0,0.05,0.01,0.03,0.0,0.17,1.46,0.0,3.44,0.0,5.23,0.0,0.0,0.05,0.03,0.03,0.27,5.23,16.87,167.19,tall glass,ASC005.json
ASC006,Fruit Punch (with fresh juices),asc_manual,36.12,9.38,0.14,0.03,9.25,0.06,6.21,1.3,10.08,0.0,5.07,10.24,3.2,2.63,33.43,0.1,0.01,0.03,0.0,0.13,0.0,0.02,0.0,0.05,0.05,0.0,0.56,0.0,4.51,0.02,0.0,0.04,0.04,0.01,0.15,4.51,7.61,45.53,tall glass,ASC006.json
ASC007,Fruit Punch (with squashes),asc_manual,23.13,5.99,0.07,0.02,5.88,0.17,5.23,1.63,7.07,0.0,3.3,9.27,1.88,2.26,16.65,0.06,0.01,0.04,0.0,0.08,0.0,0.01,0.0,0.03,0.05,0.0,0.65,0.0,1.82,0.0,0.0,0.02,0.02,0.01,0.08,1.82,3.0,55.69,tall glass,ASC007.json
ASC008,Lemonade,asc_manual,20.8,5.48,0.03,0.01,5.47,0.02,4.65,0.04,5.3,0.0,1.84,0.67,0.73,28.52,5.73,0.05,0.01,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.47,0.0,0.6,0.0,0.0,0.01,0.01,0.0,0.01,0.6,1.51,53.7,glass,ASC008.json
ASC009,Lem-o-gin,asc_manual,21.52,5.55,0.08,0.03,5.38,0.13,9.41,1.47,13.2,0.0,2.2,1.59,1.86,28.13,14.17,0.09,0.01,0.07,0.0,0.08,0.0,0.02,0.0,0.01,0.1,0.0,1.0,0.0,0.82,0.0,0.0,0.02,0.01,0.01,0.03,0.82,1.59,59.48,glass,ASC009.json
ASC010,Cumin infused water (Jeere/Zeere ka pani),asc_manual,9.09,1.86,0.17,0.11,1.46,0.46,14.5,40.04,33.53,0.0,10.84,4.47,5.28,189.6,32.15,0.32,0.02,0.13,0.0,0.23,0.02,0.04,0.0,0.01,0.57,0.0,1.77,0.0,0.93,0.01,0.0,0.05,0.01,0.01,0.03,0.93,1.07,64.09,glass,ASC010.json
ASC011,Coco pine cooler,asc_manual,32.75,5.72,0.56,1.0,5.52,0.26,627.31,248.96,41.5,3.4,17.81,13.47,6.59,23.2,66.65,0.13,0.01,0.31,0.0,0.13,0.0,0.07,10.53,0.07,0.07,0.0,0.84,0.0,2.92,0.03,0.04,0.05,0.14,0.02,0.29,2.92,2.47,96.55,tall glass,ASC011.json
ASC012,Summer cooler,asc_manual,22.43,5.43,0.37,0.04,5.21,0.2,10.71,1.87,16.85,0.0,8.13,11.46,7.62,1.57,93.06,0.28,0.01,0.17,0.0,0.16,0.0,0.04,0.0,0.15,0.14,0.0,2.31,0.0,12.92,0.03,0.01,0.11,0.12,0.03,0.45,12.92,20.92,219.75,tall glass,ASC012.json
ASC014,Hot cocoa,asc_manual,90.1,9.23,3.36,4.56,9.01,0.0,2752.15,1257.17,139.48,0.0,113.66,101.41,16.05,24.2,132.15,0.31,0.09,0.9,0.0,0.01,0.0,0.42,0.0,0.22,0.0,0.0,0.02,0.0,7.22,0.03,0.1,0.1,0.32,0.04,1.87,7.22,1.89,189.11,cup,ASC014.json
ASC015,Cold coffee with ice cream,asc_manual,67.85,11.24,1.57,2.11,11.18,0.01,1283.98,567.96,67.66,1.17,53.29,44.98,7.26,13.84,90.27,0.12,0.03,0.51,0.0,0.02,0.0,0.16,3.62,0.11,0.0,0.0,0.04,0.0,3.15,0.02,0.06,0.29,0.18,0.02,1.54,3.15,0.84,81.39,tall glass,ASC015.json
ASC016,Banana milkshake (Kele milkshake),asc_manual,65.31,9.15,1.84,2.37,7.96,0.26,1423.07,634.17,87.19,0.0,62.64,52.77,7.92,13.61,102.43,0.13,0.03,0.49,0.0,0.05,0.0,0.19,0.0,0.13,0.02,0.0,0.25,0.0,5.74,0.02,0.06,0.1,0.22,0.08,1.21,5.74,1.98,134.3,tall glass,ASC016.json
ASC017,Mango milkshake (Aam milkshake),asc_manual,56.9,7.23,1.73,2.35,7.15,0.26,1394.57,633.56,88.45,0.0,62.33,50.5,6.17,13.27,79.07,0.15,0.03,0.75,0.0,0.04,0.0,0.19,0.0,0.15,0.52,0.0,0.67,0.0,15.1,0.02,0.06,0.08,0.19,0.04,1.23,15.1,5.65,301.55,tall glass,ASC017.json
ASC018,Pineapple milkshake (Ananas milkshake),asc_manual,55.72,7.62,1.66,2.23,7.6,0.0,1336.79,599.51,68.15,0.0,59.92,47.88,5.14,14.05,65.68,0.11,0.02,0.47,0.0,0.12,0.0,0.18,0.0,0.11,0.0,0.0,0.0,0.0,4.79,0.02,0.06,0.06,0.18,0.03,0.98,4.79,2.8,100.08,tall glass,ASC018.json
ASC019,Orange milkshake (Narangi milkshake),asc_manual,57.42,7.11,1.86,2.52,7.08,0.0,1525.07,683.94,77.75,0.0,67.42,55.47,5.3,14.63,73.43,0.11,0.02,0.54,0.0,0.01,0.0,0.19,0.0,0.14,0.0,0.0,0.0,0.0,5.28,0.02,0.06,0.05,0.2,0.02,1.16,5.28,3.39,115.26,tall glass,ASC019.json
ASC020,Egg nog,asc_manual,97.14,8.15,4.78,5.11,8.06,0.02,2633.51,1536.21,299.55,60.3,102.13,107.24,8.99,40.65,115.14,0.43,0.04,7.43,0.0,0.02,0.0,0.47,32.62,0.42,0.08,0.14,0.1,2.41,13.81,0.03,0.12,0.08,0.51,0.06,4.57,13.81,1.59,180.53,tall glass,ASC020.json
ASC021,Sweet Lassi (Meethi lassi),asc_manual,35.66,6.51,1.29,0.68,6.51,0.0,431.64,178.53,22.6,2.49,45.65,38.46,4.38,18.31,63.5,0.03,0.01,0.45,0.0,0.0,0.0,0.16,6.33,0.01,0.0,0.0,0.0,0.0,4.07,0.01,0.06,0.05,0.11,0.02,0.59,4.07,0.23,4.75,tall glass,ASC021.json
ASC022,Lassi (salted),asc_manual,18.84,1.86,1.35,0.72,1.84,0.02,451.64,191.6,26.17,2.6,47.78,40.39,4.84,65.4,67.37,0.04,0.0,0.47,0.0,0.0,0.0,0.17,6.62,0.01,0.01,0.0,0.09,0.0,4.27,0.01,0.06,0.05,0.12,0.02,0.62,4.27,0.24,5.29,tall glass,ASC022.json
ASC023,Cheese and chilli sandwich ,asc_manual,218.11,27.4,6.8,9.78,2.38,2.08,5276.39,2277.0,351.37,23.05,113.79,89.98,18.86,437.5,142.31,0.99,0.1,4.57,0.0,0.32,0.02,0.56,97.4,0.25,0.24,0.0,5.85,0.0,28.95,0.14,0.09,1.0,0.1,0.07,1.77,28.95,22.06,518.11,triangle,ASC023.json
ASC024,Egg sandwich (Ande ka sandwich),asc_manual,285.96,29.16,8.69,15.8,1.86,1.88,8437.21,4047.35,733.87,121.63,110.13,107.32,18.88,461.67,129.59,1.44,0.11,14.16,0.0,0.34,0.02,0.77,190.34,0.7,0.13,0.21,1.94,3.6,29.4,0.15,0.1,0.98,0.37,0.08,4.54,29.4,0.0,134.03,triangle,ASC024.json
ASC025,Cucumber sandwich (Kheere ka sandwich),asc_manual,188.6,25.77,4.8,8.0,1.64,2.45,4322.51,1808.72,287.53,17.53,87.84,62.3,21.6,362.64,154.06,1.02,0.09,3.58,0.0,0.31,0.02,0.46,78.85,0.21,0.62,0.0,4.69,0.0,21.34,0.12,0.04,0.94,0.19,0.06,1.19,21.34,2.51,129.54,triangle,ASC025.json
ASC026,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),asc_manual,257.71,29.1,8.2,12.8,4.1,2.33,7259.18,3109.01,440.3,34.35,199.73,195.37,21.52,571.96,143.39,1.04,0.1,4.73,0.0,0.54,0.02,0.91,134.35,0.39,0.15,0.0,2.15,0.0,21.66,0.14,0.09,0.9,0.14,0.07,1.23,21.66,6.52,97.0,triangle,ASC026.json
ASC027,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),asc_manual,243.32,26.92,7.92,12.27,2.85,1.97,6949.08,2976.77,438.74,32.88,191.2,187.97,20.97,549.71,148.52,1.0,0.09,4.52,0.0,0.32,0.03,0.87,128.58,0.35,2.65,0.0,6.82,0.0,20.91,0.13,0.09,0.95,0.15,0.07,1.23,20.91,5.42,1328.24,triangle,ASC027.json
ASC028,Chicken sandwich,asc_manual,253.27,25.38,13.12,11.75,1.6,1.64,4795.68,2264.61,412.47,42.06,89.56,121.57,21.59,389.67,196.08,1.19,0.19,10.83,0.0,0.3,0.02,0.7,84.92,0.32,0.11,0.53,1.37,10.74,19.06,0.15,0.07,3.94,0.45,0.24,1.62,19.06,0.0,61.71,triangle,ASC028.json
ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),asc_manual,291.43,28.54,9.53,16.14,2.82,4.03,5981.63,5583.7,2667.6,17.53,94.03,134.27,56.19,364.99,252.82,1.58,0.28,4.21,0.0,0.63,0.11,1.06,78.85,1.12,4.0,0.0,6.79,0.0,36.28,0.23,0.07,3.23,0.25,0.1,0.59,36.28,5.2,1274.98,triangle,ASC029.json
ASC030,Rainbow sandwich,asc_manual,272.75,34.26,7.75,12.54,4.05,2.1,7021.96,2934.21,411.22,31.16,172.04,149.85,20.43,612.49,143.97,1.2,0.1,5.0,0.0,0.36,0.02,0.76,128.38,0.36,0.13,0.0,2.15,0.0,21.69,0.2,0.09,1.16,0.08,0.06,0.68,21.69,2.12,188.09,triangle,ASC030.json
ASC031,Club sandwich ,asc_manual,235.32,18.51,7.31,15.12,2.01,1.81,6110.9,5725.71,1625.38,31.26,115.68,128.02,18.6,461.66,169.0,0.86,0.08,3.73,0.0,0.23,0.01,0.87,80.88,1.19,1.91,0.0,13.56,0.0,19.82,0.16,0.09,1.33,0.36,0.1,1.98,19.82,6.83,918.33,triangle,ASC031.json
ASC032,Vegetarian club sandwich,asc_manual,198.33,19.68,5.45,11.33,2.08,2.06,4721.69,3935.81,1208.38,23.13,122.44,120.49,18.65,305.36,159.77,0.77,0.07,3.11,0.0,0.24,0.01,0.58,85.76,1.23,3.27,0.0,15.0,0.0,21.16,0.1,0.07,0.78,0.2,0.07,1.81,21.16,7.24,973.74,triangle,ASC032.json
ASC033,Pin wheel sandwich,asc_manual,311.52,14.0,8.77,24.93,1.45,0.93,2856.3,13907.46,5907.96,179.52,67.75,111.59,13.69,374.39,110.3,1.36,0.08,20.07,0.0,0.18,0.02,0.8,109.78,6.65,0.12,0.38,0.77,6.55,32.44,0.09,0.13,0.48,0.7,0.12,8.38,32.44,0.0,70.49,triangle,ASC033.json
ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),asc_manual,214.11,29.04,5.3,9.12,5.3,3.66,5161.2,2211.03,628.98,21.05,118.05,97.76,31.49,302.88,228.82,1.8,0.14,3.6,0.0,0.63,0.45,0.78,89.31,0.25,0.45,0.0,14.9,0.0,22.32,0.13,0.07,1.44,0.21,0.1,1.71,22.32,2.78,2220.14,triangle,ASC034.json
ASC035,Salami sandwich,asc_manual,255.59,21.54,8.7,15.51,2.0,1.97,6875.04,5531.68,1238.08,33.35,73.54,88.61,20.81,662.75,194.06,1.11,0.1,4.52,0.0,0.26,0.02,1.05,64.51,0.22,0.43,0.0,3.54,0.0,17.03,0.25,0.09,2.07,0.51,0.13,2.39,17.03,1.69,104.03,triangle,ASC035.json
ASC036,Vegetable and mayonnaise sandwich,asc_manual,244.26,23.2,4.47,15.4,2.35,2.35,4467.6,6614.6,2487.48,21.87,79.53,55.55,16.7,342.7,143.1,0.91,0.09,3.17,0.0,0.3,0.02,0.42,78.7,2.66,1.79,0.0,9.37,0.0,24.97,0.11,0.06,0.86,0.11,0.08,0.98,24.97,18.89,2218.25,triangle,ASC036.json
ASC037,Egg and tomato sandwich (Ande aur tamatar ka sandwich),asc_manual,222.11,25.9,7.66,10.51,2.09,1.77,5164.06,2761.66,611.98,95.63,95.71,95.47,18.11,423.26,150.47,1.3,0.1,12.16,0.0,0.31,0.03,0.69,124.29,0.67,1.35,0.18,3.87,3.07,27.45,0.14,0.09,0.99,0.35,0.09,4.08,27.45,3.33,790.67,triangle,ASC037.json
ASC038,Sweet open sandwich,asc_manual,244.25,39.24,4.99,8.15,12.23,2.36,4453.81,1778.49,289.97,18.05,85.18,60.5,22.74,205.27,230.97,1.15,0.13,3.62,0.01,0.39,0.01,0.43,81.19,0.23,0.13,0.0,1.43,0.0,22.12,0.12,0.06,0.99,0.13,0.21,0.56,22.12,2.8,146.68,triangle,ASC038.json
ASC039,Mushroom and cheese sandwich (toasted),asc_manual,227.42,21.01,7.79,13.01,2.11,2.28,7548.33,3185.63,525.33,35.12,172.35,196.85,21.16,456.57,198.37,0.84,0.09,3.64,0.0,0.28,0.02,0.8,139.41,0.31,6.86,0.0,5.69,0.0,16.77,0.1,0.09,0.88,0.25,0.08,4.0,16.77,0.0,83.2,triangle,ASC039.json
