ndb_id,food_name,serving_unit,serving_size_grams,source_file,categories,total_nutrients
R101061,"BISCUIT, COCONUT",1 piece,13.02,R101061.json,"[""Proximates""]",13
R101069,"BISCUIT, LEMON PUFF",1 piece,50.76,R101069.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",89
R101070,"BISCUIT, MARIE",1 piece,5.13,R101070.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",89
R101071,"BISCUIT, MILK (BISKUT SUSU)",5 pieces,29.0,R101071.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",89
R101081,CROISSANT,1 piece,61.65,R101081.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",54
R101086,"BREAD, RAISIN (ROTI KISMIS)",1 piece,32.85,R101086.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",88
R101094,"BUN, CHEESE (BAN KEJU)",1 piece,55.0,R101094.json,"[""Proximates""]",13
R101096,"BUN, COCONUT (BAN KELAPA)",1 bun,41.15,R101096.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",77
R101099,"BUN, KAYA (BAN KAYA)",1 bun,37.8,R101099.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",76
R101100,"BUN, POTATO (BAN KENTANG)",1 bun,36.266666666667,R101100.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",78
R101102,"BUN, RED BEANS (BAN KACANG MERAH)",1 bun,42.7,R101102.json,"[""Proximates"", ""Minerals"", ""Vitamins"", ""Lipids"", ""Fatty Acids, Saturated"", ""Fatty Acids, Mono Unsaturated"", ""Fatty Acids, Poly Unsaturated"", ""Amino Acids""]",76
R101109,"COOKIES, PEANUT",1 piece,34.47,R101109.json,"[""Proximates""]",12
