ndb_id,nutrient_name,value_per_100g,value_per_serving,unit,category
R101061,Energy,457.27,60.0,Kcal,Proximates
R101061,Water,1.75,0.23,g,Proximates
R101061,Protein,8.3233333333333,1.08,g,Proximates
R101061,Fat,17.443333333333,2.27,g,Proximates
R101061,Carbohydrate,66.746666666667,8.69,g,Proximates
R101061,Total dietary fibre,5.2,0.7,g,Proximates
R101061,Ash,1.7033333333333,0.2,g,Proximates
R101061,Total sugars,28.3,3.68,g,Proximates
R101061,Sucrose,28.3,3.68,g,Proximates
R101061,Glucose,0.0,0.0,g,Proximates
R101061,Fructose,0.0,0.0,g,Proximates
R101061,Lactose,0.0,0.0,g,Proximates
R101061,Maltose,0.0,0.0,g,Proximates
R101069,Energy,454.685,231.0,Kcal,Proximates
R101069,Water,2.66,1.35,g,Proximates
R101069,Protein,7.87,3.99,g,Proximates
R101069,Fat,18.798333333333,9.54,g,Proximates
R101069,Carbohydrate,63.505,32.24,g,Proximates
R101069,Total dietary fibre,5.1666666666667,2.6,g,Proximates
R101069,Ash,2.0,1.0,g,Proximates
R101069,Total sugars,11.533333333333,5.85,g,Proximates
R101069,Sucrose,10.242222222222,5.2,g,Proximates
R101069,Glucose,0.35833333333333,0.18,g,Proximates
R101069,Fructose,0.0,0.0,g,Proximates
R101069,Lactose,0.0,0.0,g,Proximates
R101069,Maltose,0.135,0.07,g,Proximates
R101069,Calcium,83.666666666667,42.0,mg,Minerals
R101069,"Iron, Fe",1.49,0.76,mg,Minerals
R101069,"Magnesium, Mg",23.833333333333,12.0,mg,Minerals
R101069,"Phosphorus, P",107.33333333333,54.0,mg,Minerals
R101069,"Potassium, K",71.75,36.0,mg,Minerals
R101069,"Sodium, Na",518.66666666667,263.0,mg,Minerals
R101069,"Zinc, Zn",0.56666666666667,0.29,mg,Minerals
R101069,"Copper, Cu",0.081666666666667,0.0,μg,Minerals
R101069,"Selenium, Se",0.0,0.0,μg,Minerals
R101069,"Manganese, Mn",0.049166666666667,0.0,μg,Minerals
R101069,Iodine,12.289666666667,6.0,μg,Minerals
R101069,Vitamin C,0.0,0.0,mg,Vitamins
R101069,Thiamin (B1),0.91266666666667,0.46,mg,Vitamins
R101069,Riboflavin (B2),0.096666666666667,0.05,mg,Vitamins
R101069,Niacin (B3),0.0,0.0,mg,Vitamins
R101069,Folic Acid (B9),0.16666666666667,0.0,μg,Vitamins
R101069,Vitamin A (Retinol),0.04,0.0,μg,Vitamins
R101069,β-Carotene,0.0,0.0,μg,Vitamins
